0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Station 
Code",Monitoring Location,State Name,"Temperature 
(°C)",,"Dissolved 
Oxygen 
(mg/L)",,pH,,"Conductivity 
(µmho/cm)",,"BOD 
(mg/L)",,"Nitrate N 
(mg/L)",,"Fecal Coliform  
(MPN/100ml)",,"Total Coliform  
(MPN/100ml)",,"Fecal 
Streptococci 
(MPN/100ml)",
,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",
"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",
1851,"RIVER MAHANADI AT SIHAWA, ORIGIN POINT OF RIVER 
MAHANADI",CHHATTISGARH  20.0,,26.0,5.3,7.7,,7.2  8.0,158,338,2.1,2.4,0.00,0.00,,,40,56,,
1264,"RIVER MAHANADI AT RUDRI RESERVOIR U/S AT 
RUDRI,DHAMTARI",CHHATTISGARH  21.0,,26.0,6.5,7.6,,7.1  7.8,152,336,2.2,2.6,0.00,0.00,,,30,58,,
1099,"RIVER MAHANADI AT RAJIM,NEAR ROAD BRIDGE 
CHHATISGARH.",CHHATTISGARH  22.0,,28.0,6.5,7.1,,7.0  7.7,200,336,2.1,2.9,0.00,0.00,,,54,78,,
1852,,"RIVER MAHANADI AT ARRANG, NEAR GANDHI BRIDGE  CHHATTISGARH  21.0",,31.0,6.4,7.3,,7.2  8.0,174,550,2.2,2.7,0.00,0.00,,,6,58,,
1100,RIVER MAHANADI AT KHAROD,CHHATTISGARH  21.4,,33.0,7.0,7.5,,7.2  8.0,208,443,2.0,2.4,1.80,4.00,2,93,20,490,,
1282,"RIVER MAHANADI AT SHEORINARAYAN VILLAGE D/S 
NEAR ROAD BRIDGE",CHHATTISGARH  20.2,,33.0,6.0,8.0,,7.3  8.5,205,393,2.8,4.0,1.30,6.10,4,220,12,1100,,
1467,"RIVER MAHANADI AFTER CONFL. OF RIVER MAND,NEAR 
BALPUR VILLAGE.",CHHATTISGARH  20.1,,32.0,6.6,8.5,,7.4  8.0,246,420,2.2,3.8,1.10,5.30,2,210,12,680,,
1101,"RIVER MAHANADI AT INTERSTATE BOUNDRY, NEAR 
SURJGARH VILLAGE",CHHATTISGARH  15.0,,32.0,6.7,7.4,,7.1  8.2,189,342,1.1,2.6,0.32,1.68,22,22,21,240,,
1281,RIVER MAHANADI AT HIRAKUD RESERVOIR,ODISHA,22.0,31.0,6.8,8.4,,6.7  8.5,163,218,1.1,1.5,0.32,0.80,130,1700,490,3500,,
30063,RIVER MAHANADI AT HIRAKUND (ODISHA),ODISHA,27.0,28.0,,9.6  10.0  7.3  7.6,,,152,229,1.0,1.0,0.32,0.49,780,780,1300,1300,20,20
1270,RIVER MAHANADI AT SAMBALPUR U/S,ODISHA,23.0,30.0,6.2,7.8,,7.1  8.0,178,235,1.1,1.6,0.32,0.71,130,1700,460,3300,2,2
1271,RIVER MAHANADI AT SAMBALPUR D/S,ODISHA,23.0,30.0,6.2,7.8,,7.4  8.5,158,240,1.5,2.4,0.32,0.61,270,2300,1700,4900,2,13
2405,RIVER  MAHANADI AT  SAMBALPUR FD/S AT HUMA,ODISHA,22.0,31.0,6.4,8.0,,7.4  8.3,160,247,1.2,1.9,0.32,0.62,230,2300,790,4900,2,17
1272,"RIVER MAHANADI (AFTER CONFL. WITH R. ONG ) AT 
SONEPUR U/S",ODISHA,23.0,29.0,7.3,9.9,,7.2  8.5,156,362,1.1,1.6,0.32,0.69,13,1300,49,2400,2,33
1274,"RIVER MAHANADI  (AFTER CONFL. WITH R. TEL) AT 
SONEPUR D/S",ODISHA,23.0,30.0,,6.2  10.0  7.3  8.5,,,150,264,1.3,2.1,0.32,0.75,49,2200,240,4900,2,49
2404,"RIVER MAHANADI AT POWER CHANNEL D/S NEAR 
BURLA",ODISHA,23.0,30.0,6.0,8.0,,7.1  8.1,180,239,1.2,1.9,0.32,0.74,170,7900,1100,24000,,
2406,"RIVER MAHANADI AT MUNDALI (WATER INTAKE POINT 
OF BHUBANESWAR CITY)",ODISHA,22.0,32.0,6.6,8.8,,6.9  8.2,157,245,1.2,2.0,0.32,0.62,78,2300,330,4900,2,79
3887,"RIVER  MAHANADI AT SAMBALPUR FD/S  AT 
SHANKARMATH",ODISHA,21.0,31.0,5.8,7.6,,7.2  8.3,146,380,1.4,2.2,0.32,0.84,220,1700,790,4900,2,14
1275,RIVER MAHANADI AT TIKARPADA,ODISHA,22.0,28.0,,5.8  12.4  6.6  8.4,,,137,358,1.1,1.8,0.32,2.46,13,130,78,790,2,5
1276,RIVER MAHANADI AT NARSINGHPUR,ODISHA,21.0,34.0,6.8,8.2,,6.5  8.2,160,247,1.1,1.5,,0.32 402.02,78,2300,490,4900,2,49
1277,RIVER MAHANADI AT CUTTACK U/S,ODISHA,21.0,35.0,6.4,8.6,,6.9  8.0,173,253,1.1,1.7,0.32,1.56,78,2200,330,4700,2,49
1278,RIVER MAHANADI AT CUTTACK D/S,ODISHA,20.0,33.0,6.6,8.5,,7.1  8.1,180,340,1.3,2.6,0.32,0.84,1300,92000,3300,160000,11,240
