0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Station 
Code",Monitoring Location,State Name,"Temperature 
(°C)",,"Dissolved 
Oxygen 
(mg/L)",,pH,,"Conductivity 
(µmho/cm)",,"BOD 
(mg/L)",,"Nitrate N 
(mg/L)",,"Fecal Coliform  
(MPN/100ml)",,"Total Coliform  
(MPN/100ml)",,"Fecal 
Streptococci 
(MPN/100ml)",
,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",
"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",
4461,"ASHWANI KHAD D/S OF VILLAGE SADHUPIL, TEHSIL 
KANDAGHAT, DISTRICT SOLAN.","HIMACHAL 
PRADESH",7.0,18.0,,6.7  11.0  7.2  8.2,,,166,530,1.0,1.0,1.87,5.80,2,9,21,220,2,2
4479,"ASHWANI KHAD U/S OF  SADHUPUL VILLAGE  (NEARBY 
800 METERS U/S OF THE BRIDGE)","HIMACHAL 
PRADESH",7.0,20.0,,6.2  10.0  7.1  8.1,,,145,769,1.0,1.0,2.38,6.61,2,11,26,220,2,2
4431,"SHIKARI KHAD BEFORE CONFLUENCE TO RIVER 
PABBAR NEAR HRTC ROHRU BUS STAND","HIMACHAL 
PRADESH",7.8,30.0,6.8,8.0,,7.6  8.3,51,343,1.0,1.8,0.32,1.90,2,33,34,920,2,2
30037,RIVER BANGANGA AT U/S IDRISHPUR (U.K.),UTTARAKHAND  21.6,,31.2,0.4,6.8,,7.2  7.5,366,614,1.6,3.1,0.32,1.05,2,790000,2000,2400000,,
30038,"RIVER BANGANGA AT D/S SHUKRATAL (BEFORE 
CONFLUENCE OF LAKSAR DRAIN )","UTTAR 
PRADESH",21.6,31.2,5.0,7.8,,7.3  7.6,359,518,1.0,2.6,0.32,1.65,2,330000,2,790000,2,2
10099,RIVER HINDON AT MAHESHPUR D/S,"UTTAR 
PRADESH",18.0,32.0,1.4,1.4,,7.2  7.4,380,,750  32.0  44.0  0.00,,,0.00,,,,,,
10102,RIVER HINDON AT MOHAN NAGAR U/S,"UTTAR 
PRADESH",18.0,27.0,1.2,4.5,,6.5  7.5,330,,530  15.0  20.0  0.40,,,0.46,130000,260000,170000,790000,,
10103,RIVER HINDON AT MOHAN NAGAR D/S,"UTTAR 
PRADESH",18.0,28.0,2.1,6.5,,6.8  7.6,330,,746  10.0  20.0  0.35,,,0.48,110000,340000,140000,470000,,
10106,RIVER HINDON AT GHAZIABAD U/S,"UTTAR 
PRADESH",18.0,28.0,1.1,5.5,,6.2  7.6,316,,589  12.0  24.0  0.41,,,0.55,170000,350000,210000,920000,,
10100,RIVER HINDON AT BARNAWA U/S,"UTTAR 
PRADESH",16.0,22.0,0.3,0.3,,7.5  7.8,710,,900  42.0  62.0  24.00 34.00  100000,,,,,140000,140000,210000,,
10101,RIVER HINDON AT BARNAWA D/S,"UTTAR 
PRADESH",16.0,21.0,0.3,0.3,,7.4  7.7,630,,820  38.0  56.0  22.00 30.00,,,,82000,120000,120000,170000,,
1483,"RIVER HINDON AFTER CONFL. WITH R. KRISHNA & KALI 
NEAR BINAULI TOWN, PURA MAHADEV, MEERUT, U.P.","UTTAR 
PRADESH",17.0,22.0,0.3,0.3,,7.5  7.8,750,,1000  44.0  68.0  30.00 38.00  100000,,,,,170000,150000,220000,,
2496,"RIVER HINDON AT SARDHANA BUDHANA ROAD, VILLAGE 
BAPARSI, MEERUT","UTTAR 
PRADESH",15.0,22.0,0.3,0.3,,7.6  7.8,750,,990  48.0  68.0  32.00 40.00,,,,14000,170000,17000,240000,,
1357,"RIVER HINDON AT SAHARANPUR D/S, AT MAHESHPUR 
.DEOBAND  U.P.","UTTAR 
PRADESH",18.0,32.0,,,,6.7  7.5,410,,750  32.0  48.0  0.00,,,0.00,,,,,,
1358,"RIVER HINDON AT GHAZIABAD D/S KULESHRA GB 
NAGAR, U.P.","UTTAR 
PRADESH",20.0,25.0,0.3,8.8,,6.4  8.4,304,,1375  3.2  48.0  0.75,,,0.96,2100,340000,3800,470000,1100,1100
10104,RIVER HINDON AT NOIDA U/S,"UTTAR 
PRADESH",,,1.4,4.1,,6.9  8.2,755,,861  15.0  22.0  0.00,,,0.62,,230000  3400000  310000,,4000000,,
10105,RIVER HINDON AT NOIDA D/S,"UTTAR 
PRADESH",26.0,26.0,1.1,4.8,,7.0  7.9,450,,1082  12.0  27.0  0.00,,,0.42,,170000  2700000  270000,,3800000,,
1477,RIVER KALINADI AT U/S OF MUZAFFAR NAGAR U.P.,"UTTAR 
PRADESH",19.0,25.5,2.9,3.4,,7.2  7.7,300,,340  12.0  16.0  0.00,,,0.00,,,,,,
1478,"RIVER KALINADI AT D/S OF MUZAFFAR NAGAR, U.P.","UTTAR 
PRADESH",19.0,25.8,0.3,0.3,,7.0  7.3,480,,670  32.0  40.0  0.00,,,0.00,,,,,,
4606,RIVER KEN NEAR ROAD BRIDGE AT PANNA,"MADHYA 
PRADESH",21.0,31.0,6.4,9.2,,7.2  8.0,229,354,1.0,2.2,0.33,1.62,2,2,31,41,2,2
1356,"RIVER BETWA BEFORE CONF. YAMUNA AT HAMIRPUR, 
U.P.","UTTAR 
PRADESH",17.0,24.0,5.4,7.6,,7.2  7.9,344,,3400  2.2,3.1,0.00,0.00,7800,9300,13000,17000,,
