0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Station 
Code",Monitoring Location,State Name,"Temperature 
(°C)",,"Dissolved 
Oxygen 
(mg/L)",,pH,,"Conductivity 
(µmho/cm)",,"BOD 
(mg/L)",,"Nitrate N 
(mg/L)",,"Fecal Coliform  
(MPN/100ml)",,"Total Coliform  
(MPN/100ml)",,"Fecal 
Streptococci 
(MPN/100ml)",
,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",
"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",
3080,"RIVER KINNERASANI (TRIBUTRARY OF GODAVARI) - U/S 
OF KARAKAVAGU AT PALONCHA , BHADRADRI 
KOTHAGUDEM",TELANGANA,24.0,28.6,5.0,6.2,,7.2  8.3,412,835,1.0,2.2,0.30,2.40,2,2,24,39,2,2
3081,"RIVER KINNERASANI (TRIBUTRARY OF GODAVARI) - D/S 
OF KARAKAVAGU AT PALONCHA, BHADRADRI 
KOTHAGUDEM",TELANGANA,25.8,29.1,4.6,6.1,,7.5  8.2,408,596,1.0,2.4,0.30,2.80,2,2,20,39,2,2
2372,"RIVER KINNERASANI (TRIBUTRARY OF GODAVARI) - 
KINNERASANI AFTER CONFLUENCE OF KTPS ASH POND 
EFFLUENTS ,BHADRADRI KOTHAGUDEM",TELANGANA,25.0,29.1,4.8,6.2,,7.5  8.2,179,612,1.0,2.8,0.78,2.50,2,2,17,120,2,2
1908,"RIVER KOLAR BEFORE CONFLUENCE WITH KANHAN 
RIVER AT WAREGAON BRIDGE, VILLAGE- WAREGAON, 
TALUKA-KAMPTEE, DISTRICT -NAGPUR.",MAHARASHTRA  19.0,,30.0,5.1,6.8,,7.2  8.7,870,,1740  3.0,4.0,0.30,2.90,11,40,110,220,2,2
4257,"RIVER MANERU (TRIBUTARY OF GODAVARI)  - AT D/S OF  
MUNICIPAL DUMP SITE, KARIMNAGAR",TELANGANA,26.0,27.0,0.3,5.9,,6.9  8.4,438,,2143  1.8  13.0  1.12,,,6.60,2,24,32,430,2,4
4664,"RIVER MANERU (TRIBUTARY OF GODAVARI) -  AT 
GHATTEPALLI (V) NEAR SULTHANABAD, KARIMNAGAR",TELANGANA,25.0,26.0,4.0,6.0,,6.9  8.1,424,872,1.6,3.8,2.20,3.28,2,2,27,84,2,2
1158,"RIVER MANERU (TRIBUTARY OF GODAVARI)  -  AT 
SOMANPALLY , PEDDAPALLI",TELANGANA,25.0,27.0,5.2,6.2,,6.6  8.4,436,811,1.0,2.9,0.58,3.24,2,2,21,70,2,2
1891,RIVER MANJEERA AT D/S INTAKE POINT TO BIDAR CITY,KARNATAKA,24.0,30.0,6.9,7.9,,7.4  8.3,390,582,2.0,3.0,0.58,4.00,33,540,140,2800,,
1157,"RIVER MANJEERA (TRIBUTARY OF GODAVARI)  -  AT 
RAIPALLY, SANGAREEDY",TELANGANA,22.0,34.0,6.1,7.6,,7.5  8.4,575,676,2.1,3.3,,6.02  28.04,4,6,27,39,4,5
1781,"RIVER MANJEERA (TRIBUTARY OF GODAVARI)  -  AT 
GANAPATHI SUGARS, SANGAREDDY",TELANGANA,20.0,29.0,5.8,6.6,,7.0  8.3,605,758,2.0,3.2,,5.03 123.00,8,8,39,52,4,6
2374,"RIVER MANJEERA (TRIBUTARY OF GODAVARI)  - U/S OF 
RIVER MANJEERA AT GOWDICHERLA BEFORE 
CONFLUENCE WITH NAKKAVAGU, SANGAREDY",TELANGANA,19.0,27.0,5.9,6.9,,7.1  7.9,850,,1020  2.0,,3.2  10.06 29.04,,7,8,27,34,6,6
2375,"RIVER MANJEERA (TRIBUTARY OF GODAVARI)  - D/S OF 
RIVER MANJEERA AT GOWDICHERLA ATFTER 
CONFLUENCE WITH NAKKAVAGU, SANGAREDDY",TELANGANA,19.0,28.0,5.9,7.0,,7.2  7.8,1203,,1489  2.3,,3.9  14.13 26.12,,6,7,34,41,4,5
4226,"RIVER MANJEERA (TRIBUTARY OF GODAVARI)  - RIVER 
MANJEERA AT YEDU PAYALA TEMPLE, NAGSAMPALLI 
(V), PAPANNAPET (M), MEDAK DISTRICT",TELANGANA,16.0,28.0,6.2,7.3,,7.1  8.3,592,,1195  2.2,4.0,,9.16  41.13,4,6,18,84,2,2
2673,"RIVER MANJRA  AT D/S OF LATUR, NEAR LATUR- 
NANDED BRIDGE, VILLAGE- BHATKHEDA, TALUKA- 
LATUR, DISTRICT- LATUR.",MAHARASHTRA  18.0,,20.0,6.0,6.5,,8.0  8.5,641,792,5.2,5.2,0.59,0.62,2,2,5,32,2,5
30055,RIVER MANJEERA AT JANWADA(BANGALORE),KARNATAKA,24.0,28.0,7.7,9.3,,8.4  8.5,461,604,1.0,7.0,0.00,4.80,470,1400,3500,7000,,
2675,RIVER MORNA D/S OF RAILWAY BRIDGE AKOLA,MAHARASHTRA  23.0,,27.0,3.1,5.9,,7.4  8.3,891,,1989  3.0,5.8,0.32,9.43,12,48,120,210,2,2
2349,"RIVER MANJEERA (TRIBUTARY OF GODAVARI)  - NAKKA 
VAGU AT BACHUGUDEM, SANGAREEDY",TELANGANA,18.0,21.0,4.2,5.4,,6.8  7.3,1206,,1555  3.5,,4.8  20.12 40.13,,8,8,79,94,7,8
1214,"RIVER PENCH AT CHHINDWARA ,NEAR SINGORI ROAD 
BRIDGE, CHHINDWARA","MADHYA 
PRADESH",19.0,30.0,7.1,7.7,,7.2  8.1,264,716,1.4,2.0,0.47,5.04,2,10,15,120,,
5541,"RIVER PENCHÂ  NEAR ROAD BRIDGE 
HALLAKHURD,CHHINDWARA","MADHYA 
PRADESH",19.0,31.0,7.1,7.8,,7.1  8.1,322,716,1.0,2.0,0.00,5.10,2,7,15,120,,
