0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Station 
Code",Monitoring Location,State Name,"Temperature 
(°C)",,"Dissolved 
Oxygen 
(mg/L)",,pH,,"Conductivity 
(µmho/cm)",,"BOD 
(mg/L)",,"Nitrate N 
(mg/L)",,"Fecal Coliform  
(MPN/100ml)",,"Total Coliform  
(MPN/100ml)",,"Fecal 
Streptococci 
(MPN/100ml)",
,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",
"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",
5098,RIVER YAMUNA AT WAZIRABAD,DELHI,,,4.0,8.2,,7.2  7.5,,,4.0,9.8,0.00,0.00,200,5500,,,,
5099,RIVER YAMUNA AT ISBT BRIDGE,DELHI,,,0.3,3.0,,7.1  7.5,,,,22.0  46.0  0.00,,0.00,5500,100000,17000,17000,,
5100,RIVER YAMUNA AT ITO BRIDGE,DELHI,,,0.3,4.1,,7.2  7.5,,,,18.0  38.0  0.00,,0.00,6100,81000,,,,
1121,"RIVER YAMUNA AT NIZAMUDDIN, DELHI",DELHI,,,0.3,2.5,,7.1  7.5,,,,26.0  48.0  0.00,,0.00,9300,31000,,,,
1375,"RIVER YAMUNA AT OKHLA BRIDGE (INLET OF AGRA 
CANAL), DELHI",DELHI,,,0.3,1.8,,7.1  8.0,,,,30.0  50.0  0.00,,0.00,120000,380000,,,,
1812,"RIVER YAMUNA AT OKHLA AFTER MEETING OF 
SHAHDARA DRAIN, DELHI",DELHI,,,0.3,1.1,,6.8  7.7,,,,35.0  56.0  0.00,,0.00,170000,470000,,,,
30030,"RIVER YAMUNA AT ASGARPUR VILLAGE,(YAMUNA 
GHAT)U.P","UTTAR 
PRADESH",,,0.3,5.4,,7.4  7.7,517,,1878  14.0  94.0  0.33,,,2.66,7800,14000000  23000,,21000000,,680  2400000
30031,RIVER YAMUNA AT HASANPUR,HARYANA,16.0,30.0,0.3,6.0,,7.6  8.7,1034,,1358  11.0  36.0  0.32,,,0.67,1700,490000,6300,790000,330,130000
,"30024  RIVER YAMUNA AT MOHENA PALWAL ROAD, HARYANA",HARYANA,15.0,28.0,0.3,1.7,,7.5  8.2,1101,,1385  12.0  55.0  0.37,,,3.80,,130000  1700000  130000,,,9400000  17000  130000,
2493,RIVER YAMUNA AT SHAHPUR,"UTTAR 
PRADESH",12.0,28.0,4.2,7.2,,7.6  8.1,692,734,,9.2  15.6  0.00,,0.00,23000,49000,58000,110000,,
2495,"RIVER YAMUNA AT KESIGHAT, VRINDAVAN","UTTAR 
PRADESH",11.0,28.0,4.0,7.4,,7.6  8.2,614,642,,7.6  11.6  0.00,,0.00,22000,33000,49000,94000,,
1123,"RIVER YAMUNA AT MATHURA U/S ,NEAR GAUGHAT U.P.","UTTAR 
PRADESH",11.0,28.0,4.6,6.6,,7.6  8.2,543,628,,7.8  12.2  0.00,,0.00,12000,33000,39000,94000,,
2494,"RIVER YAMUNA AT VISHRAMGHAT, MATHURA","UTTAR 
PRADESH",11.0,28.0,4.2,6.8,,7.6  8.2,572,652,,8.0  13.2  0.00,,0.00,14000,33000,41000,120000,,
1124,"RIVER YAMUNA AT MATHURA D/S , NEAR SHAMSHAN 
GHAT U.P.","UTTAR 
PRADESH",11.0,28.0,4.0,6.4,,7.8  8.2,618,668,,8.8  14.0  0.00,,0.00,572,38000,640,150000,,
1125,"RIVER YAMUNA AT AGRA U/S, U.P.(KAILASH GHAT)","UTTAR 
PRADESH",24.0,28.0,7.0,8.0,,7.5  7.8,406,,1800  6.4  14.4  0.00,,,0.00,4000,7000,7800,11000,,
1126,"RIVER YAMUNA AT D/S OF AGRA, U.P.","UTTAR 
PRADESH",24.0,28.0,6.6,7.0,,6.7  7.5,512,,2045  7.2  15.6  0.00,,,0.00,6800,17000,11000,33000,,
1498,"RIVER YAMUNA AT BATESWAR, U.P","UTTAR 
PRADESH",23.0,28.0,6.0,7.2,,7.4  7.8,1022,,2512  8.0,9.6,0.00,0.00,6800,17000,9300,25000,,
10081,RIVER YAMUNA AT ETAWAH D/S,"UTTAR 
PRADESH",16.8,36.8,5.1,7.1,,7.5  7.9,487,,2438  8.4  22.0  0.00,,,0.00,7000,46000,21000,160000,,
10082,RIVER YAMUNA AT UDI,"UTTAR 
PRADESH",17.1,36.4,4.9,6.5,,7.4  7.8,434,,2418  7.2  18.8  0.00,,,0.00,4900,40000,14000,94000,,
1127,"RIVER YAMUNA AT ETAWAH, U.P.","UTTAR 
PRADESH",17.2,36.6,5.2,6.0,,7.5  8.0,460,,2722  7.6  18.0  0.00,,,0.00,5800,43000,17000,94000,,
